64 64
10 52 4
2 17 6
28 29 0
32 48 3
39 50 8
29 53 1
7 16 3
31 32 5
27 44 8
21 32 1
27 46 4
3 23 9
13 55 10
2 60 6
8 43 5
40 47 6
48 55 6
32 49 2
23 32 5
11 38 0
39 40 3
29 46 7
16 52 10
3 49 7
27 52 7
12 49 3
41 61 3
6 43 1
7 20 8
22 63 10
3 32 3
18 25 10
16 27 2
27 32 9
20 63 3
12 24 6
10 46 0
42 50 0
28 38 1
59 61 1
11 45 2
35 50 8
10 57 9
32 43 9
0 9 6
30 40 7
47 62 8
38 54 2
32 56 0
15 42 1
24 29 1
36 50 10
24 60 3
39 49 0
21 48 1
3 35 6
5 49 4
9 10 1
4 49 5
24 41 0
13 18 9
6 62 10
25 27 1
11 25 0
