512 512
171 489 7
464 484 0
170 176 0
286 294 0
161 328 7
206 384 2
439 473 2
2 414 6
318 508 0
60 347 4
382 419 1
10 67 4
37 471 3
192 430 2
15 384 6
178 340 6
127 208 10
410 459 0
135 246 1
433 474 9
8 106 6
298 334 4
301 413 6
80 135 3
152 358 9
16 417 7
106 494 7
267 395 8
216 466 10
72 184 6
291 301 10
170 352 7
11 175 3
27 230 3
183 377 4
255 480 4
167 387 0
265 319 5
118 497 7
413 503 7
12 201 4
108 272 4
69 413 8
19 357 6
117 209 5
263 466 5
137 436 3
108 425 2
99 305 6
65 111 3
138 469 2
220 295 1
106 350 5
181 267 2
356 429 0
269 356 9
362 405 10
139 345 10
218 434 8
110 356 0
202 417 2
144 405 6
30 210 7
118 488 10
387 415 6
102 125 3
261 272 3
369 436 5
117 346 3
43 253 5
200 452 3
45 494 0
314 500 4
329 334 6
399 405 5
186 231 7
253 407 1
287 497 1
51 288 5
286 505 8
386 473 1
2 464 9
466 468 9
205 266 9
242 385 3
395 480 5
230 244 7
31 160 6
279 476 2
276 281 2
61 248 4
2 373 4
179 440 7
420 467 10
182 303 10
33 337 6
8 257 3
222 287 8
149 485 1
33 222 10
398 476 7
343 431 2
138 357 8
23 297 4
137 427 4
75 98 5
9 29 0
81 261 3
175 373 2
219 486 9
188 249 6
163 344 2
92 127 9
277 318 5
76 510 0
221 461 9
98 277 4
111 271 6
111 344 7
54 85 4
6 384 6
7 437 8
216 398 4
269 500 0
457 472 6
327 487 1
75 463 6
47 336 4
43 252 4
58 155 10
8 58 7
104 150 0
87 287 4
48 285 9
24 270 0
27 181 4
120 231 0
331 488 7
74 237 8
12 48 10
44 114 9
34 295 9
26 191 7
28 509 6
91 236 4
1 63 9
385 483 4
213 347 3
43 487 1
234 430 5
32 363 7
87 367 9
104 183 6
168 349 2
160 484 4
9 23 8
488 508 8
38 252 4
347 498 3
238 376 9
51 507 5
36 44 10
258 345 5
387 469 9
56 128 3
163 417 0
178 510 10
320 481 5
149 241 6
114 360 2
62 321 7
47 176 2
468 508 10
90 170 5
303 381 0
205 464 4
205 370 7
181 219 3
127 335 5
421 454 1
154 469 0
225 285 7
181 254 2
59 194 6
78 234 2
219 291 4
299 316 10
167 232 6
87 510 6
353 451 3
144 343 4
352 430 0
243 292 2
88 293 0
107 278 3
118 169 4
162 397 0
0 236 7
275 495 3
71 172 2
376 475 4
360 412 10
115 413 10
142 431 8
38 98 0
19 122 10
259 479 10
29 30 3
153 206 3
142 252 1
241 339 2
166 338 5
302 336 4
223 301 3
252 472 7
166 335 8
75 199 3
136 205 7
23 259 2
264 432 9
116 339 3
111 459 6
136 145 1
234 466 9
37 343 7
40 371 9
144 321 0
151 352 8
278 471 2
191 388 7
120 292 6
31 305 3
211 308 4
340 409 10
70 414 5
167 301 8
259 319 0
238 476 10
155 510 9
107 108 10
431 497 0
405 417 10
45 54 6
346 493 5
130 445 5
32 501 8
12 452 8
270 306 7
122 125 5
247 343 5
133 140 4
200 225 3
14 164 8
193 487 10
223 328 6
345 391 3
158 482 3
154 459 9
101 103 4
152 312 2
172 403 1
98 387 2
349 359 7
86 267 6
139 233 8
161 318 6
463 481 4
148 430 0
54 392 6
158 215 5
144 365 9
9 254 2
97 478 10
64 385 10
149 434 0
92 249 9
49 142 0
261 296 0
294 468 7
161 498 5
172 484 8
24 132 2
2 356 10
176 364 4
296 435 9
96 228 5
209 337 0
24 143 4
65 136 2
118 190 6
414 421 8
258 494 8
345 442 3
163 205 10
150 226 2
241 507 4
91 132 6
277 413 4
53 439 3
75 296 0
232 394 9
226 431 4
261 337 5
254 428 9
382 426 0
3 293 7
389 415 6
13 174 9
15 127 3
295 337 2
80 480 0
156 304 2
187 276 7
273 475 7
20 145 7
154 283 0
27 508 2
166 171 10
269 308 7
98 346 2
23 72 0
103 162 7
171 198 5
27 325 10
339 406 5
106 309 6
110 305 0
369 503 2
383 508 1
198 420 3
55 266 3
344 417 4
136 387 1
375 424 6
434 507 3
80 489 10
168 326 6
47 181 3
51 443 4
152 454 3
21 378 9
218 381 2
382 507 2
226 360 3
156 357 8
417 447 3
147 467 6
184 342 3
377 476 4
158 195 2
22 210 2
328 385 7
390 456 10
376 390 8
265 280 1
190 471 8
189 483 7
232 326 2
42 401 5
271 385 6
208 427 8
70 168 0
207 353 0
448 459 1
94 354 0
372 495 1
203 273 4
160 388 0
139 451 0
172 418 8
51 308 6
5 115 3
113 187 1
100 102 0
28 135 2
275 307 10
96 408 5
162 363 10
260 414 8
17 329 8
69 301 10
10 242 5
270 431 5
52 494 1
162 337 0
63 119 4
103 494 8
57 154 2
86 307 6
129 259 3
16 383 0
362 485 6
200 500 2
363 429 5
303 451 3
433 498 3
158 394 6
204 266 1
222 377 10
453 511 8
241 509 3
160 491 6
374 497 0
402 454 9
33 472 4
288 506 0
193 428 2
16 355 5
38 499 2
24 316 7
97 105 10
270 439 10
343 474 9
16 255 5
221 255 0
