128 16256
76 3 98
7 35 146
81 15 176
82 17 215
41 120 61
127 3 224
88 102 222
15 66 221
50 20 120
109 30 50
72 57 279
65 109 43
109 80 31
70 96 273
20 122 261
48 26 110
123 12 162
119 101 6
45 111 239
74 54 228
47 37 144
50 11 190
1 46 78
15 56 54
32 79 136
10 97 264
64 30 67
78 14 286
95 12 151
40 100 275
11 19 65
60 111 284
23 47 194
87 30 89
101 40 76
86 16 77
105 93 102
75 47 188
114 43 264
48 100 144
63 74 270
121 56 270
126 102 245
43 73 210
93 62 9
3 52 104
102 56 28
80 115 84
66 103 218
111 15 69
109 19 231
115 21 127
78 107 158
56 125 300
50 56 195
29 12 3
18 14 71
7 41 46
27 33 154
35 9 133
112 61 107
10 37 72
27 80 228
44 83 116
77 29 121
73 75 250
92 18 287
104 19 168
2 6 9
96 42 270
51 97 298
54 78 298
76 106 137
37 84 184
85 8 199
63 36 43
26 38 126
127 125 74
74 105 124
25 83 86
9 18 189
72 3 175
81 14 235
124 118 67
77 17 234
118 26 1
1 31 221
108 37 251
27 22 178
93 54 8
8 35 231
122 3 273
73 82 82
87 14 60
8 45 224
88 64 122
51 60 109
7 66 128
79 32 148
80 58 99
10 109 6
55 49 181
27 83 167
57 18 164
100 53 136
92 93 245
25 10 262
23 94 8
69 125 247
92 74 248
48 60 46
115 100 208
69 73 189
39 81 61
101 80 56
126 93 262
20 101 177
48 28 163
121 3 116
76 39 126
72 85 67
124 12 219
96 25 203
88 6 85
63 65 65
106 17 250
83 71 275
70 11 146
126 33 275
47 80 232
93 109 257
88 16 214
25 118 158
88 18 204
73 20 167
8 6 252
19 52 75
23 81 131
48 36 56
62 36 77
90 92 119
19 109 228
55 4 66
123 5 242
89 91 187
56 124 255
11 72 235
28 64 220
88 39 182
101 84 94
52 116 12
43 117 270
16 127 195
79 95 109
0 95 114
52 74 206
40 19 217
63 125 137
47 78 50
97 48 158
67 92 221
29 87 95
79 98 93
72 119 265
63 85 235
40 71 79
71 26 194
45 78 62
59 100 189
35 27 288
33 110 60
69 21 22
41 21 258
33 14 244
56 26 68
96 59 50
107 109 276
22 11 41
85 84 271
121 108 156
62 12 162
86 95 116
39 38 145
13 91 22
115 70 239
70 7 62
97 104 254
104 10 37
68 113 79
109 74 185
115 17 282
57 93 212
46 34 127
49 99 168
95 45 273
105 51 105
35 17 289
60 47 86
27 111 219
105 47 58
126 118 280
69 59 246
38 62 19
0 96 206
3 99 105
115 73 36
40 58 244
18 123 266
43 26 43
71 126 65
92 86 201
69 30 211
2 99 11
7 22 180
71 12 150
91 54 105
58 29 106
36 84 264
47 121 267
87 41 194
78 75 105
76 37 42
52 72 161
73 68 230
57 45 30
56 96 141
105 1 232
28 19 70
66 38 18
101 39 74
89 112 280
46 98 92
17 108 289
67 94 106
77 5 240
105 89 21
34 71 151
103 27 270
64 42 141
59 98 224
24 96 209
59 54 37
52 89 184
113 12 8
27 120 259
106 124 110
97 75 185
43 99 5
77 126 102
125 76 25
110 68 180
14 82 171
71 17 41
2 38 169
111 67 92
79 37 126
90 106 274
71 53 276
27 85 218
99 86 131
88 94 135
49 73 126
51 38 203
14 70 107
2 71 96
25 84 164
29 42 297
64 78 120
5 84 224
24 31 13
36 123 31
15 82 202
49 46 94
77 16 40
56 7 20
101 18 101
